post_id,title,category,score,num_comments,author,collected_at
47653642,Binary obfuscation that doesn't kill LTO,science,140,94,noztol,2026-04-09 21:26:45
47703619,Betterbird. Simply Better,sports,9,1,antsar,2026-04-09 21:26:45
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,320,56,chrsw,2026-04-09 21:26:45
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,9,2,bjord,2026-04-09 21:26:45
47676509,Lunar Flyby,technology,945,244,kipi,2026-04-09 21:26:45
47703498,White-Collar Workers Are Rebelling Against AI – 80% Refuse Adoption Mandates,technology,12,5,sarimkx,2026-04-09 21:26:45
47622436,Slightly safer vibecoding by adopting old hacker habits,science,177,93,transpute,2026-04-09 21:26:45
47634422,Native Americans had dice 12k years ago,entertainment,133,86,delichon,2026-04-09 21:26:45
47700084,"Code Is Cheap Now, and That Changes Everything",technology,53,51,v-mdev,2026-04-09 21:26:45
47698512,A Visual Guide to Gemma 4,sports,15,0,vismit2000,2026-04-09 21:26:45
47654062,Ask HN: Any interesting niche hobbies?,worldnews,434,639,e-topy,2026-04-09 21:26:45
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,11,rvitorper,2026-04-09 21:26:45
47699426,Formal Verification in Any Language for Everybody (lean 4),worldnews,11,4,wazHFsRy,2026-04-09 21:26:45
47703217,Apple signs meaningless deal to make some less-important parts in America,entertainment,29,11,als0,2026-04-09 21:26:45
47693585,How Costco Won in Japan (2025),worldnews,47,24,gmays,2026-04-09 21:26:45
47697641,Claude Managed Agents Overview,sports,33,19,NicoJuicy,2026-04-09 21:26:45
47648307,Virtual Mars Traverse: Every inch of Curiosity rover's path since 2012 landing,sports,46,17,bookofjoe,2026-04-09 21:26:45
47660766,Exposing and Understanding Scrolling Transfer Functions (2012) [pdf],science,18,0,t23414321,2026-04-09 21:26:45
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,106,30,pruz,2026-04-09 21:26:45
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,53,24,vkatluri,2026-04-09 21:26:45
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09 21:26:45
47699396,Flatpak: Complete Sandbox Escape,sports,15,0,eyberg,2026-04-09 21:26:45
47682276,US and Iran agree to provisional ceasefire,science,597,1986,g-b-r,2026-04-09 21:26:45
47679258,System Card: Claude Mythos Preview [pdf],science,833,638,be7a,2026-04-09 21:26:45
